rank,player,position,inches,weight,forty,city,state,state2,state3,high school,college,player_url,class,teamid,Unnamed: 15,percent rank
145, Matthew Trehern   (DS#145 OG/Overall: #9999), OG,74,315.0,5.35 - 5.56,Saraland,AL,,,Saraland,Alabama-Birmingham,https://draftscout.com/dsprofile.php?PlayerId=1018522&DraftYear=2022,2022,65,,0.14792899408284022
57, Jeffmario Brown   (DS#57 OLB/Overall: #9999), OLB,74,229.0,4.72 - 4.88,Myrtle Beach,SC,,,Forrest,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1025255&DraftYear=2022,2022,66,,0.6068965517241379
67, Antonio Fletcher   (DS#67 FS/Overall: #9999), FS,72,187.0,4.43 - 4.62,Lithonia,GA,,,Martin Luther King,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=132322&DraftYear=2022,2022,66,,0.21176470588235297
68, Ivory Scott   (DS#68 OG/Overall: #9999), OG,75,315.0,5.18 - 5.38,Kenner,LA,,,Bonnadel,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1017635&DraftYear=2022,2022,66,,0.6035502958579881
69, Elery Alexander   (DS#69 FS/Overall: #9999), FS,71,190.0,4.46 - 4.65,Van Vleck,TX,,,Van Vleck,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1050311&DraftYear=2022,2022,66,,0.18823529411764706
70, Reed Tyler   (DS#70 TE/Overall: #9999), TE,75,245.0,4.75 - 4.94,Brandon,MS,,,Brandon,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1024727&DraftYear=2022,2022,66,,0.24137931034482762
71, Dahu Green   (DS#71 WR/Overall: #9999), WR,76,197.0,4.50 - 4.68,Oklahoma City,OK,,,Westmoore,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1003251&DraftYear=2022,2022,66,,0.696035242290749
78, James Blackman   (DS#78 QB/Overall: #9999), QB,76,190.0,4.70 - 4.88,South Bay,FL,,,Glades Central,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1021900&DraftYear=2022,2022,66,,0.0625
93, Marcel Murray   (DS#93 RB/Overall: #9999), RB,71,197.0,4.55 - 4.76,Hiram,GA,,,Hiram,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1024895&DraftYear=2022,2022,66,,0.125
99, Terry Hampton   (DS#99 DT/Overall: #9999), DT,72,293.0,5.00 - 5.20,El Dorado,AR,,,El Dorado,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1050332&DraftYear=2022,2022,66,,0.07476635514018692
161, Andre Harris Jr.   (DS#161 OG/Overall: #9999), OG,76,315.0,5.38 - 5.57,Oklahoma City,OK,,,Putnam City North,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1024738&DraftYear=2022,2022,66,,0.059171597633136064
214, Roshauud Paul   (DS#214 WR/Overall: #9999), WR,71,170.0,4.40 - 4.58,Bremond,TX,,,Bremond,Arkansas State,https://draftscout.com/dsprofile.php?PlayerId=1022952&DraftYear=2022,2022,66,,0.08810572687224671
72, Tyrese Dedmon   (DS#72 FS/Overall: #9999), FS,73,183.0,4.53 - 4.75,Lancaster,CA,,,Antelope Valley,Idaho,https://draftscout.com/dsprofile.php?PlayerId=1024907&DraftYear=2022,2022,67,,0.15294117647058825
101, Charles Akanno   (DS#101 OLB/Overall: #9999), OLB,73,247.0,4.72 - 4.95,Inglewood,CA,,,Morningside,Idaho,https://draftscout.com/dsprofile.php?PlayerId=1025067&DraftYear=2022,2022,67,,0.303448275862069
5, Rhys Byrns   (DS#5 P/Overall: #9999), P,72,186.0,4.76 - 4.95,Melbourne,AUS,,,Padua College,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1024681&DraftYear=2022,2022,68,,0.8936170212765957
22, Levi Lewis   (DS#22 QB/Overall: #9999), QB,70,184.0,4.58 - 4.78,Baton Rouge,LA,,,Scotlandville Magnet,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1024722&DraftYear=2022,2022,68,,0.7375
38, Max Mitchell   (DS#38 OT/Overall: #9999), OT,77,297.0,5.12 - 5.32,Monroe,LA,,,Neville,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1050633&DraftYear=2022,2022,68,,0.5128205128205128
40, Bralen Trahan   (DS#40 FS/Overall: #9999), FS,72,191.0,4.47 - 4.65,Lafayette,LA,,,Acadiana,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1024072&DraftYear=2022,2022,68,,0.5294117647058824
47, Chauncey Manac   (DS#47 OLB/Overall: #9999), OLB,75,251.0,4.80 - 4.97,Homerville,GA,,,Clinch County,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1017671&DraftYear=2022,2022,68,,0.6758620689655173
71, Johnny Lumpkin   (DS#71 TE/Overall: #9999), TE,78,260.0,4.75 - 4.97,Atlanta,GA,,,Fredrick Douglass,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1025035&DraftYear=2022,2022,68,,0.22988505747126442
72, Eric Garror   (DS#72 CB/Overall: #9999), CB,69,176.0,4.38 - 4.58,Mobile,AL,,,McGill Toolen,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1024643&DraftYear=2022,2022,68,,0.5823529411764705
76, ZiYon Hill   (DS#76 DT/Overall: #9999), DT,73,283.0,4.97 - 5.18,New Iberia,LA,,,Catholic,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1024650&DraftYear=2022,2022,68,,0.28971962616822433
77, Ferrod Gardner   (DS#77 ILB/Overall: #9999), ILB,74,220.0,4.65 - 4.84,Dayton,OH,,,Trotwood-Madison,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1017628&DraftYear=2022,2022,68,,0.3902439024390244
81, Tayland Humphrey   (DS#81 DT/Overall: #9999), DT,77,333.0,5.37 - 5.58,Spring,TX,,,Klein Oak,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1018654&DraftYear=2022,2022,68,,0.2429906542056075
91, Glenn Beal   (DS#91 TE/Overall: #9999), TE,77,265.0,4.83 - 5.05,New Orleans,LA,,,John Curtis,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1029927&DraftYear=2022,2022,68,,0.011494252873563204
100, Lorenzo McCaskill   (DS#100 ILB/Overall: #9999), ILB,72,223.0,4.65 - 4.85,Detroit,MI,,,Southfield A&T,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1050627&DraftYear=2022,2022,68,,0.2032520325203252
110, Percy Butler   (DS#110 SS/Overall: #9999), SS,72,190.0,4.52 - 4.72,Plaquemine,LA,,,Plaquemine,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1050589&DraftYear=2022,2022,68,,0.04504504504504503
122, Andre Jones   (DS#122 DE/Overall: #9999), DE,77,244.0,4.80 - 4.98,Angie,LA,,,Varnado,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1050615&DraftYear=2022,2022,68,,0.008264462809917328
138, Ken Marks   (DS#138 OG/Overall: #9999), OG,75,308.0,5.17 - 5.38,Beaumont,TX,,,Beaumont Central,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1007654&DraftYear=2022,2022,68,,0.18934911242603547
159, Carlos Rubio   (DS#159 OG/Overall: #9999), OG,75,296.0,5.24 - 5.45,Alexandria,LA,,,Alexandria Senior,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1050651&DraftYear=2022,2022,68,,0.07100591715976334
204, Jalen Williams   (DS#204 WR/Overall: #9999), WR,75,218.0,4.50 - 4.68,Opelousas,LA,,,Westminister Christian,Louisiana,https://draftscout.com/dsprofile.php?PlayerId=1025484&DraftYear=2022,2022,68,,0.1277533039647577
67, Austin Hawley   (DS#67 SS/Overall: #9999), SS,72,197.0,4.54 - 4.75,Gladewater,TX,,,Gladewater,Louisiana-Monroe,https://draftscout.com/dsprofile.php?PlayerId=1025412&DraftYear=2022,2022,69,,0.4054054054054054
75, Garrett Hirsch   (DS#75 C/Overall: #9999), C,74,315.0,5.36 - 5.58,Towanda,IL,,,Normal Community,Louisiana-Monroe,https://draftscout.com/dsprofile.php?PlayerId=1052290&DraftYear=2022,2022,69,,0.052631578947368474
178, Perry Carter Jr.   (DS#178 WR/Overall: #9999), WR,67,172.0,4.40 - 4.58,Houston,TX,,,St. Pius X,Louisiana-Monroe,https://draftscout.com/dsprofile.php?PlayerId=1024159&DraftYear=2022,2022,69,,0.23348017621145378
